WK,Date,MKT,Platform,Cluster,Category/Campaign,Change Note,Reference,Impact,Owner,Note
,3/20/2024,MX,Google,,Brand Broad,Budget decreased from $150 to $50,,,Sabryna,Lower Brand CPA
,3/20/2024,MX,Google,,Negative Brand KWs,Added 64 keywords to Non-Core Brand Keywordes_AB_MX list,,,Sabryna,Lower CPA for Brand and AMZ related campaigns
,3/20/2024,MX,Google,,Crafts,Budget decreased from $100 to $50,,,Sabryna,Lower NB CPA
,3/20/2024,MX,Google,,Medical,Budget decreased from $100 to $75,,,Sabryna,Lower NB CPA
,3/20/2024,MX,Google,,Janitorial,Budget decreased from $100 to $75,,,Sabryna,Lower NB CPA
,3/20/2024,MX,Google,,Electronics,Budget decreased from $100 to $75,,,Sabryna,Lower NB CPA
,3/20/2024,MX,Google,,Office,Budget decreased from $150 to $100,,,Sabryna,Lower NB CPA
,3/20/2024,MX,Google,,Shops,Budget decreased from $150 to $100,,,Sabryna,Lower NB CPA
,3/20/2024,MX,Google,,Apparel,Budget decreased from $100 to $75,,,Sabryna,Lower NB CPA
,3/20/2024,MX,Google,,Generic,Budget decreased from $100 to $75,,,Sabryna,Lower NB CPA
,3/21/2024,MX,Google,,Generic AMZ,Budget increased from $150 to $250,,,Sabryna,Showing strong result in registrations so opening up budget
,3/22/2024,MX,Google,,Janitorial,Budget increased from $75 to $150,,,Sabryna,Showing registrations so opening up budget
,3/22/2024,MX,Google,,Food,Budget increased from $75 to $150,,,Sabryna,Showing registrations so opening up budget
,3/22/2024,MX,Google,,Generic AMZ,Budget increased from $250 to $350,,,Sabryna,Need to increase daily spend pacing and this is a strong campaign
,3/25/2024,MX,Google,,Apparel,Budget increased from $75 to $200,,,Sabryna,Need to increase daily spend pacing and showing some registrations
,3/25/2024,MX,Google,,Food,Budget increased from $150 to $250,,,Sabryna,Need to increase daily spend pacing and showing some registrations
,3/25/2024,MX,Google,,Generic,Budget increased from $75 to $200,,,Sabryna,Need to increase daily spend pacing and showing some registrations
,3/25/2024,MX,Google,,Brand - Exact,Increasing Bid limit from $20 to $40,,,Sabryna,Bid setting limited warning from Google saying 82% of impressions are limited by your max. bid limit
,3/28/2024,MX,Google,,Generic,Budget increased from $75 to $300,,,Sabryna,Need to increase daily spend pacing through EOM and want to get more testing out of this category
,3/28/2024,MX,Google,,Generic AMZ,Budget decreased from $350 to $250,,,Sabryna,CPA getting a little high and we're seeing enough registrations here to start to gauge where this should live
,3/28/2024,MX,Google,,Competitors,paused [mercado libre] ,,,Sabryna,to allow other keywords in that campaign to be tested more since [mercado libre] taking majority of the budget
,3/28/2024,MX,Google,,Food,Budget increased from $250 to $350,,,Sabryna,Need to increase daily spend pacing and showing 2nd most registrations for NB
,3/28/2024,MX,Google,,Generic,"Paused Clothing related ad groups (Clothing_Exact, Clothing_Broad, Clothing_Work_Exact, Clothing_Work_Phrase)",,,Sabryna,Keywords covered under Apparel campaign - don't want to take from generic terms
,3/28/2024,MX,Google,,Brand Exact,"Added [amazon para empresas], [business amazon], [amazon negocios], [amazon empresarial], [amazon for business], [amazon para negocios]",,,Sabryna,in Brand search queries and all relevant to the Brand terms
,3/28/2024,MX,Google,,Generic AMZ,Paused amazon cuenta de empresa and amazon para empresas broad match,,,Sabryna,keywords were duplicates of Brand Broad
,3/29/2024,MX,Google,,Electronics,Increased budget from $75 to $150,,,Sabryna,need to increase daily budget for month and this campaign has more room for testing
,3/29/2024,MX,Google,,Competitors,Increase budget from $50 to $100,,,Sabryna,need to increase daily budget for month and want to retest this campaign with [mercado libre] now paused since it was taking all the budget previously
,3/29/2024,MX,Google,,Janitorial,Increased budget from $75 to $125,,,Sabryna,need to increase daily budget for month and this campaign has more room for testing
,3/29/2024,MX,Google,,Apparel,Budget increased from $200 to $300,,,Sabryna,Need to increase daily spend pacing and showing some registrations
,4/1/2024,MX,Google,,Generic,Increased Budget from $300 to $800,,,Sabryna,Strong performance after increase in budget so lifting higher
,4/2/2024,MX,Google,,Food,Decreased Budget from $350 to $150,,,Sabryna,Decreasing as it's not as efficient and give more to Generic campaign
,4/2/2024,MX,Google,,Apparel,Budget decreased from $300 to $150,,,Sabryna,Decreasing as it's not as efficient and give more to Generic campaign
,4/3/2024,MX,Google,,Competitors,"Paused ""mercado libre"", and adding only wholesale relevant terms to Exact and Phrase Mercado Libre ad groups",,,Sabryna,Taking most of traffic from the campaign inefficiently
,4/3/2024,MX,Google,,Generic AMZ,"Paused [amazon empresa], [amazon para empresa] - Paused ad group Generic_Enterprises_Broad and Generic_Enterprises_Exact
",,,Sabryna,Moved keyword to Brand campaign
,4/3/2024,MX,Google,,Brand Exact,"Added [amazon empresa], [amazon para empresa]",,,Sabryna,Was under Generic AMZ previously now shifted as they are better categorized as Brand
,4/9/2024,MX,Google,,Competitors,Decreased Budget from $100 to $50,,,Sabryna,Still very low performance
,4/9/2024,MX,Google,,Brand Exact,Increased Budget from $200 to $220,,,Sabryna,Limited by Budget
,4/10/2024,MX,Google,,Janitorial,Decreased Budget from $125 to $75,,,Sabryna,Need to cut back spend for daily pacing
,4/11/2024,MX,Google,,Generic,Decreased Budget from $800 to $600,,,Sabryna,Need to cut back spend for daily pacing
,4/11/2024,MX,Google,,Apparel,Decreased Budget from $150 to $75,,,Sabryna,Need to cut back spend for daily pacing; not showing strong performance
,4/11/2024,MX,Google,,Food,Decreased Budget from $150 to $50,,,Sabryna,Need to cut back spend for daily pacing; not showing strong performance
,4/11/2024,MX,Google,,Electronics,Decreased Budget from $150 to $50,,,Sabryna,Need to cut back spend for daily pacing; not showing strong performance
,4/11/2024,MX,Google,,Medical,Decreased Budget from $150 to $50,,,Sabryna,Need to cut back spend for daily pacing; not showing strong performance
,4/11/2024,MX,Google,,Office,Increased Budget from $50 to $75,,,Sabryna,Lower NB CPA than others
,4/15/2024,MX,Google,,Generic AMZ,Increased Budget from $275 to $400,,,Sabryna,Need to increase daily spend pacing
,4/15/2024,MX,Google,,Invoice AMZ Broad,Increased Budget from $50 to $100,,,Sabryna,Had a couple of regs and worth testing
,4/15/2024,MX,Google,,Brand - Broad,Paused Pay_Broad Ad Group,,,Sabryna,Majority of queries were irrelevant to AB and lowering our CTR and adding unnecessary spend
,4/16/2024,MX,Google,,Generic AMZ,Changed bid strategy from Maximize clicks to TCPA with $108.33 goal,,,Sabryna,Recommended by Google - This campaign also saw increases to CPA WoW with lower Regs so worth testing
,4/16/2024,MX,Google,,Shops,Decreased budget from $75 to $50,,,Sabryna,High CPA
,4/16/2024,MX,Google,,Celebrations,Decreased budget from $50 to $25,,,Sabryna,No Regs and need to reduce daily pacing
,4/16/2024,MX,Google,,Apparel,Decreased budget from $75 to $50,,,Sabryna,Adjusting to get on track for daily pacing
,4/17/2024,MX,Google,,Invoice AMZ Broad,Decreased Budget from $100 to $50,,,Sabryna,Need to decrease daily spend pacing
,4/17/2024,MX,Google,,MX Brand Broad,Decreased budget from $50 to $25,,,Sabryna,Inefficient and need to improve Brand segment CPC
,4/18/2024,MX,Google,,Generic AMZ,Increased budget from $400 to $600,,,Sabryna,Have some room in daily spend and this campaign is limited by budget but has lots of regs
,4/23/2024,MX,Google,,Janitorial,Decreased Budget from $75 to $50,,,Sabryna,Needed to decrease budget for daily spend pacing
,4/23/2024,MX,Google,,Beauty,Decreased Budget from $75 to $50,,,Sabryna,Needed to decrease budget for daily spend pacing
,4/23/2024,MX,Google,,Office,Decreased Budget from $75 to $50,,,Sabryna,Needed to decrease budget for daily spend pacing
,4/23/2024,MX,Google,,Generic,Decreased Budget from $600 to $400,,,Sabryna,Needed to decrease budget for daily spend pacing
,4/25/2024,MX,Google,,Brand Exact,Raising Bid Limit from $40 to $60; increasing budget from $220 to $300,,,Sabryna,Pedidos.com bidding on our terms and our Brand only at 46% impression share this week
,4/26/2024,MX,Google,,Automotive,Decreased Budget from $50 to $25,,,Sabryna,Need to cut back NB spend with Brand spend increasing with competitors. Campaign has generated no regs to date so minimal impact.
,4/26/2024,MX,Google,,Hospitality,Decreased Budget from $50 to $25,,,Sabryna,Need to cut back NB spend with Brand spend increasing with competitors. Campaign has generated no regs to date so minimal impact.
,4/26/2024,MX,Google,,Product AMZ,Decreased Budget from $50 to $25,,,Sabryna,Need to cut back NB spend with Brand spend increasing with competitors. Campaign has generated no regs to date so minimal impact.
,4/26/2024,MX,Google,,Vertical AMZ,Decreased Budget from $50 to $25,,,Sabryna,Need to cut back NB spend with Brand spend increasing with competitors. Campaign has generated no regs to date so minimal impact.
,4/26/2024,MX,Google,,Industrial,Decreased Budget from $50 to $25,,,Sabryna,Need to cut back NB spend with Brand spend increasing with competitors. Campaign has generated no regs to date so minimal impact.
,4/27/2024,MX,Google,,Generic,Increased Budget from $400 to $800,,,Sabryna,Need to increase daily spend
,4/27/2024,MX,Google,,Janitorial,Increased Budget from $50 to $150,,,Sabryna,Need to increase daily spend
,4/27/2024,MX,Google,,Generic AMZ,Added 15 negative keywords to Non-Core Brand KW Negative list,,,Sabryna,Broad KWs attaching to terms we shouldn't be bidding on
,4/27/2024,MX,Google,,Apparel,Increased budget from $50 to $100,,,Sabryna,Need to increase daily spend
,4/28/2024,MX,Google,,Generic AMZ,Reduced budget from $600 to $500,,,Sabryna,Need to pull back just a tad to not go over Monthly budget
,5/1/2024,MX,Google,,Office,Increased budget from $50 to $300,,,Sabryna,Starting experiment with this campaign adding testing budget
,5/1/2024,MX,Google,,Janitorial,Increased budget from $50 to $300,,,Sabryna,Starting experiment with this campaign adding testing budget
,5/1/2024,MX,Google,,Generic AMZ,Changed bid strategy from TCPA to Maximize Clicks,,,Sabryna,For the new approved way of bidding
,5/1/2024,MX,Google,,Food,Increased budget from $50 to $100,,,Sabryna,Increasing daily spend for new monthly budget
,5/1/2024,MX,Google,,Beauty,Increased budget from $50 to $100,,,Sabryna,Increasing daily spend for new monthly budget
,5/1/2024,MX,Google,,Invoice AMZ,Increased budget from $50 to $100,,,Sabryna,Increasing daily spend for new monthly budget
,5/1/2024,MX,Google,,Shops,Increased budget from $50 to $100,,,Sabryna,Increasing daily spend for new monthly budget
,5/1/2024,MX,Google,,Office and Janitorial,Experiement launched for category specific LPs,,,Sabryna,next iteration of NB test
,5/2/2024,MX,Google,,Electronics,Increased budget from $50 to $100,,,Sabryna,Increasing daily spend for new monthly budget
,5/2/2024,MX,Google,,Invoice AMZ Broad,Increased budget from $50 to $100,,,Sabryna,Increasing daily spend for new monthly budget
,5/5/2024,MX,Google,,Brand,Increased budget from $300 to $440,,,Sabryna,Budget Constrants
,5/15/2024,MX,Google,,Generic AMZ,Paused Generic_Bulk_Broad and Generic_Suppliers_Broad ad group and keywords,,,Sabryna,interfering too much with Amazon terms
,5/15/2024,MX,Google,,Celebrations AMZ,Paused campaign,,,Sabryna,Little to no traffic since launch
,5/15/2024,MX,Google,,Competitors,Lowered budget from $50 to $25,,,Sabryna,No regs last 2 weeks
,5/15/2024,MX,Google,,Electronics,Lowered budget from $100 to $50,,,Sabryna,No regs last 2 weeks
,5/20/2024,MX,Google,,Office,Increased budget from $300 to $500,,,Sabryna,room to increase daily budget and putting towards A/B test campaigns and showing good results
,5/20/2024,MX,Google,,Janitorial,Lowered budget from $300 to $150,,,Sabryna,High CPA and need to bring down NB CPA
,5/20/2024,MX,Google,,Apparel,Lowered budget from $100 to $50,,,Sabryna,need to bring down NB CPA and this campaign is more inefficent with no regs in last week
,5/20/2024,MX,Google,,Shops,Increased budget from $100 to $150,,,Sabryna,$87 CPA strong performance
,5/28/2024,MX,Google,,Generic AMZ,Lowered budget from $500 to $250,,,Sabryna,Bringing down NB efficiency
,5/28/2024,MX,Google,,Generic AMZ,mayorista amazon broad to phrase,,,Sabryna,Too many amazon queries matching that we should not be matching to
,5/28/2024,MX,Google,,Invoice AMZ Broad,Increased budget from $100 to $150,,,Sabryna,Balancing out daily spend - good CPA last FW
,5/28/2024,MX,Google,,Apparel,Increased budget from $50 to $100,,,Sabryna,Balancing out daily spend - good CPA last FW
,5/28/2024,MX,Google,,Office,Lowered budget from $500 to $400,,,Sabryna,Effiency performance decreased WoW with previous increase
,5/28/2024,MX,Google,,Generic,Increased budget from $800 to $1200,,,Sabryna,Balancing out daily spend - good CPA last FW
,6/12/2024,MX,Google,,Generic,Decreased budget from $1080 to $700,,,Sabryna,CPA running high
,6/12/2024,MX,Google,,Office,Lowered budget from $400 to $700,,,Sabryna,"Good CPA, need to increase overall spend"
,6/14/2024,MX,Google,,Invoice AMZ,Increased budget from $100 to $600,,,Sabryna,"Good CPA, need to increase overall spend"
,6/14/2024,MX,Google,,Invoice AMZ Broad,Increased budget from $150 to $400,,,Sabryna,"Good CPA, need to increase overall spend"
,6/14/2024,MX,Google,,Office,Ended A/B LP test and applied specific landing page,,,Sabryna,Has been seeing much better CVR over 5 weeks and we need to improve CVR/CPA
,6/14/2024,MX,Google,,Brand Broad,Increased budget from $25 to $80,,,Sabryna,Limited by Budget
,6/17/2024,MX,Google,,Generic,Increased budget from $700 to $800,,,Sabryna,"Daily Budget too low, need to increase spend"
,6/17/2024,MX,Google,,Medical,Increased budget from $50 to $250,,,Sabryna,"Daily Budget too low, need to increase spend"
,6/17/2024,MX,Google,,Food,Increased budget from $100 to $300,,,Sabryna,"Daily Budget too low, need to increase spend"
,6/17/2024,MX,Google,,Generic AMZ,Increased budget from $250 to $700,,,Sabryna,"Daily Budget too low, need to increase spend"
,6/17/2024,MX,Google,,Brand Broad,Decreased budget from $80 to $40,,,Sabryna,
,6/18/2024,MX,Google,,Generic,paused [proveedores],,,Sabryna,Spending a ton with little to no regs
,6/18/2024,MX,Google,,Office,Lowered budget from $700 to $400,,,Sabryna,Can scale back
,6/19/2024,MX,Google,,Generic,Lowered budget from $800 to $700,,,Sabryna,Need to get daily spend in line
,6/19/2024,MX,Google,,Brand Broad,Paused campaign,,,Sabryna,Only 2 regs in last 30 days with $430 CPA - Search Terms are straying a bit into more random queries
,6/19/2024,MX,Google,,Invoice AMZ Broad,Lowered budget from $400 to $100,,,Sabryna,More inefficient in first half of week with previous week increases
,6/19/2024,MX,Google,,Invoice AMZ,Lowered budget from $600 to $100,,,Sabryna,More inefficient in first half of week with previous week increases
,6/20/2024,MX,Google,,Generic,paused [proveedor],,,Sabryna,spend increasing in the same way as [proveedores]
,6/21/2024,MX,Google,,Pets,Paused campaign,,,Sabryna,Only 119 impressions 3/13-6/21. Will retest at later date
,6/24/2024,MX,Google,,Generic,Increased budget from $700 to $1500,,,Sabryna,Need to increase daily spend; optimizations should have made this more efficient
,6/24/2024,MX,Google,,Generic AMZ,Increased budget from $700 to $1200,,,Sabryna,Need to increase daily spend; optimizations should have made this more efficient
,6/24/2024,MX,Google,,Generic,added [proveedores] as negative to campaign,,,Sabryna,Keeps hiking up spend on other related keywords
,6/24/2024,MX,Google,,Brand Exact,Switched from MCS to Reg Start LP,,,Sabryna,based on A/B test results
,6/25/2024,MX,Google,,Generic,added [mayoreo],,,Sabryna,popular search term
,6/26/2024,MX,Google,,Generic AMZ,Decreased budget from $1200 to $1000,,,Sabryna,need to lower daily spend pacing
,6/26/2024,MX,Google,,Medical,Decreased budget from $250 to $150,,,Sabryna,"need to lower daily spend pacing, low regs this week"
,6/26/2024,MX,Google,,Food,Decreased budget from $300 to $150,,,Sabryna,"need to lower daily spend pacing, low regs this week"
,6/27/2024,MX,Google,,Janitorial,Decreased budget from $150 to $50,,,Sabryna,need to lower NB CPA
,6/27/2024,MX,Google,,Food,Decreased budget from $150 to $50,,,Sabryna,need to lower NB CPA
,6/27/2024,MX,Google,,Medical,Decreased budget from $150 to $75,,,Sabryna,need to lower NB CPA
,6/27/2024,MX,Google,,Vertical AMZ,Paused campaign,,,Sabryna,need to lower NB CPA and no regs since launch
,6/27/2024,MX,Google,,Product AMZ,Paused campaign,,,Sabryna,need to lower NB CPA and only 1 regs since launch with $3.6K spend
,6/27/2024,MX,Google,,Celebrations,Paused campaign,,,Sabryna,need to lower NB CPA and only 1 regs since launch with $3K spend
,6/27/2024,MX,Google,,Materials,Decreased budget from $50 to $25,,,Sabryna,need to lower NB CPA
,6/28/2024,MX,Google,,Shops,Decreased budget from $150 to $75,,,Sabryna,need to lower NB CPA
,6/28/2024,MX,Google,,Beauty,Decreased budget from $100 to $50,,,Sabryna,need to lower NB CPA
,6/28/2024,MX,Google,,Generic AMZ,Decreased budget from $1000 to $800,,,Sabryna,need to lower NB CPA
,6/28/2024,MX,Google,,Office,Increased budget from $400 to $600,,,Sabryna,"Need to increase spend, lower than $200 CPA for the week"
,7/15/2024,MX,Google,,Shops,Increased budget from $75 to $200,,,Sabryna,Need to increase spend
,7/18/2024,MX,Google,,Crafts,Increased budget from $50 to $200,,,Sabryna,"Testing if ""fan"" related terms pick up volume"
,7/22/2024,MX,Google,,Generic,"Lowered budget from $1,500 to $1,200",,,Sabryna,
,7/25/2024,MX,Google,,Crafts,Lowered budget from $200 to $100,,,Sabryna,
,7/25/2024,MX,Google,,Shops,Lowered budget from $200 to $100,,,Sabryna,
,7/29/2024,MX,Google,,Office,Increased budget from $800 to $1200,,,Sabryna,Need to increase daily speed
,7/29/2024,MX,Google,,Generic AMZ,Increased budget from $1000 to $1400,,,Sabryna,Need to increase daily speed
,7/31/2024,MX,Google,,Brand,Increased bd limit ifrom $60 to $90,,,Sabryna,97% of impressions are limited by your max. bid limit
,8/1/2024,MX,Google,,Food and Hospitality,Swapped LPs from https://business.amazon.com.mx/es/find-solutions/simplify-buying/selection to https://business.amazon.com.mx/es/find-solutions/simplify-buying/selection/breakroom1,,,Sabryna,Best practice
,8/1/2024,MX,Google,,Food and Hospitality,Increased budget from $50 to $150,,,Sabryna,Testing
,8/1/2024,MX,Google,,Generic,Lowered budget from $1600 to $700,,,Sabryna,Lowering daily spend for new month pacing
,8/1/2024,MX,Google,,Generic AMZ,Lowered budget from $1400 to $800,,,Sabryna,Lowering daily spend for new month pacing
,8/1/2024,MX,Google,,Office,Lowered budget from $1200 to $450,,,Sabryna,Lowering daily spend for new month pacing
,8/8/2024,MX,Google,,Generic,"Added phrase match ""mayorista"" and ""al por mayor"", pausing mayorista broad",,,Sabryna,Testing if pausing this KW will allow more regs more efficiently with more budget allowed for other KWs as mayorista takes a large allocation currently
,8/8/2024,MX,Google,,Generic,Paused [proveedores de productos] - $828 CPA from 3/13-8/3,,,Sabryna,Need to improve NB efficiency
,8/8/2024,MX,Google,,Apparel,"Added KWs in exact and phrase:  
[ropa mayoreo]
[ropa por mayoreo]
[ropa por mayoreo para vender]
[comprar ropa para vender]
[ropa para vender por mayoreo]
[ropa al mayoreo]
[playeras mayoreo]",,,Sabryna,
,8/8/2024,MX,Google,,Office,"Pausing escritorios oficina and sillas oficina ergonómicas broad match

Added KWs in exact and phrase:
escritorios para oficina
escritorio para computadora
escritorio ejecutivo
escritorio para oficina
muebles para oficina
escritorios de madera
[silla de oficina]
[sillas para oficina]
[sillas para oficina economicas]
[sillas ergonomicas para oficina]
[silla ergonomica oficina]",,,Sabryna,Seeing if adding the search terms and pausing broad match keyword will improve efficiency
,8/12/2024,MX,Google,,Competitors,Paused,,,Sabryna,High CPA
,8/14/2024,MX,Google,,Food,Increased budget from $150 to $220,,,Sabryna,Good performance with new LP
,8/14/2024,MX,Google,,Office,Decreased budget from $450 to $150,,,Sabryna,Optimizing for NB CPA
,8/26/2024,MX,Google,,Hospitality,Paused campaign,,,Sabryna,Performance did not improve with new LP
,8/26/2024,MX,Google,,Office,Paused all Broad keywords,,,Sabryna,Testing if budget can perform more efficiently and effectively without broad taking majority spend
,8/26/2024,MX,Google,,Apparel,Updated LP for Apparel with https://business.amazon.com.mx/es/find-solutions/simplify-buying/selection/ropa-de-trabajo,,,Sabryna,Best practice LP
36,9/3/2024,MX,Google,NB,MX - Generic AMZ,Budget $600 to $570,,,Stacey,
36,9/3/2024,MX,Google,NB,MX - Food,Budget $400 to $350,,,Stacey,
36,9/3/2024,MX,Google,NB,MX - Apparel,Budget $300 to $360,,,Stacey,
